	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298288_2 - Adapter 1	4209452	1181379	244898	66901	25913	8892	3201	1688	2162	1848	1289	1366	1087	1406	865	1006	1252	711	900	891	435	756	848	1323	741	924	755	1122	617	1521	231	593	428	458	574	535	683	734	726	718	856	1373	516	855	1107	611	636	574	565	881	1302	551	445	761	803	685	820	1274	1130	1317	1502	2483	5983	9481	16114	9577	1530	566	227	91	50	54	41	46	25	28	53	45	38	25	29	50	65	35	32	36	57	40	35	37	35	37	16	12	39	28	98	16	6	10
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298289_1 - Adapter 1	3617226	1083008	234755	59472	26705	11520	2766	1592	1989	1411	1582	1020	888	848	950	885	986	897	697	727	678	626	696	594	666	530	710	764	714	696	504	614	504	680	573	860	787	944	1027	979	1285	796	546	444	692	920	539	595	663	583	757	1084	1142	580	588	898	1014	1030	1503	1257	1329	1781	3298	3985	2002	2518	2966	4351	7968	13917	10645	11269	8099	5524	1321	388	163	107	64	55	40	59	38	44	40	40	62	31	42	32	50	37	52	22	45	30	96	26	15	21
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298289_2 - Adapter 1	3483861	1065415	222393	57488	26072	11354	3033	1771	2318	1612	1646	1263	1048	1337	813	986	1331	640	871	772	407	574	798	1249	695	730	724	1000	590	1454	199	522	376	410	531	545	637	656	742	698	913	1407	488	852	1133	567	612	482	541	903	1172	628	444	667	864	697	951	1741	1490	1853	2293	3788	10003	16067	28592	16863	2604	806	317	131	84	55	50	50	42	37	39	39	40	39	41	59	54	45	43	45	49	35	36	47	51	40	41	23	48	43	69	28	7	17
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298290_1 - Adapter 1	4873867	1457308	314216	77949	29627	14740	2941	1556	2339	1468	1746	1207	981	931	991	857	1028	906	744	691	674	768	755	658	662	625	741	753	770	733	503	593	525	769	696	636	592	858	847	820	884	687	568	511	657	827	634	640	674	584	787	1029	856	534	559	834	803	964	1297	1131	1020	1676	2887	3019	1576	2143	2455	3977	8193	10606	7884	8373	5513	3413	711	209	117	67	50	40	30	54	39	20	27	32	46	32	43	32	35	35	41	35	59	36	86	27	34	156
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298290_2 - Adapter 1	4725142	1431358	298164	76465	28890	14306	3066	1708	2709	1693	1944	1391	1194	1347	935	1077	1423	681	938	814	408	709	1046	1281	714	1277	885	1031	679	1331	237	540	394	474	516	502	584	725	752	676	923	1304	450	878	926	570	581	568	590	804	997	738	391	650	761	690	726	1518	1247	1521	1580	2838	6943	11327	19481	11383	1916	616	222	98	63	49	33	29	19	30	32	33	18	26	30	34	42	26	35	33	41	29	49	28	21	25	26	12	24	25	70	10	5	20
