Sample	Samtools_mqc-generalstats-samtools-mapped_passed	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC (raw)_mqc-generalstats-fastqc_raw-median_sequence_length	STAR_mqc-generalstats-star-uniquely_mapped_percent	QualiMap_mqc-generalstats-qualimap-reads_aligned	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	QualiMap_mqc-generalstats-qualimap-5_3_bias	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-mapped_passed_pct	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	Samtools_mqc-generalstats-samtools-error_rate	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-median_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	Samtools_mqc-generalstats-samtools-reads_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	Samtools_mqc-generalstats-samtools-flagstat_total	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-raw_total_sequences
SRX298305	65756342				80.47	28579771.0	0.8236909961601554	2.1					8491785.0	100.0		0.004814008				0.514949	100.0	26886276.0	65756342			99.81661431520374	57264557.0	57264557.0
SRX298305_1		97.07645302644814	3.136085295890482	100					27.27272727272727	34219046.0	27.27272727272727	76.77342664173159			75.78538232647061		49.0	100	49.0					33412451.0	100.0			
SRX298305_2		94.82698626329449	6.840917248248242	100					27.27272727272727	34219046.0	27.27272727272727	73.73700495067615			73.28298976375761		49.0	100	49.0					33412451.0	100.0			
SRX298306	87891239				77.33	37623785.0	0.997058739403494	1.95					12514035.0	100.0		0.004909681				0.441196	100.0	35008066.0	87891239			99.82801962248428	75377204.0	75377204.0
SRX298306_1		97.17317280391057	2.982211715767725	100					27.27272727272727	46272085.0	27.27272727272727	77.47633331213866			76.50383494335912		48.0	100	48.0					45270538.0	100.0			
SRX298306_2		94.53411638271231	6.9831029658594375	100					27.27272727272727	46272085.0	27.27272727272727	74.33435102715549			73.54828755898654		48.0	100	48.0					45270538.0	100.0			
SRX298307	63863878				78.02	27596555.0	1.109898632630916	1.97					8576757.0	100.0		0.005215258				0.507785	100.0	26347434.0	63863878			99.8299585901751	55287121.0	55287121.0
SRX298307_1		97.2510380442242	2.9037766295689287	100					27.27272727272727	34535529.0	27.27272727272727	77.9078572071598			77.02687078449351		46.0	100	46.0					33769515.0	100.0			
SRX298307_2		95.0481172738193	6.510985223362295	100					27.27272727272727	34535529.0	27.27272727272727	74.77986046866086			74.17698970230808		46.0	100	46.0					33769515.0	100.0			
SRX298308	48144838				78.5	21445733.0	0.7284755154850105	1.92					5134470.0	100.0		0.005319004				0.515667	100.0	20570633.0	48144838			99.72355037743458	43010368.0	43010368.0
SRX298308_1		97.20423431300226	2.9814659283955525	100					27.27272727272727	27207891.0	27.27272727272727	77.97670821238792			77.14411513116626		48.0	100	48.0					26203070.0	100.0			
SRX298308_2		95.17255558222757	7.754374383519839	100					27.27272727272727	27207891.0	27.27272727272727	72.8146878315083			74.10693819175302		47.0	100	47.0					26203070.0	100.0			
SRX298309	49704986				81.74	23040904.0	0.4649326895763821	2.16					3509912.0	100.0		0.005286448				0.569301	100.0	22437964.0	49704986			99.75480935478099	46195074.0	46195074.0
SRX298309_1		97.38312926102837	2.830015370718873	100					27.27272727272727	28128808.0	27.27272727272727	77.57520215362496			76.67874397599482		48.0	100	48.0					27450973.0	100.0			
SRX298309_2		95.03229120512412	6.716061839520537	100					27.27272727272727	28128808.0	27.27272727272727	73.89288709442204			73.3183335967303		48.0	100	48.0					27450973.0	100.0			
